"","Path","Filename","HiF","LoF","SppAccp","Prob","calls.sec","X1st","X.Spp","X.Prob","source"
"4120","Z:\PioneerLights_2021\iron05\sm4\07292021\SDHC\Data\IRON05_20210730_092629-noID.wav","IRON05_20210730_092629-noID.wav",NA,NA,"",NA,Inf,"","","","v.4.4.5"
"4121","Z:\PioneerLights_2021\iron05\sm4\07292021\SDHC\Data\IRON05_20210730_092855-noID.wav","IRON05_20210730_092855-noID.wav",NA,NA,"",NA,62.33,"","","","v.4.4.5"
"4122","Z:\PioneerLights_2021\iron05\sm4\07292021\SDHC\Data\IRON05_20210730_092939-noID.wav","IRON05_20210730_092939-noID.wav",NA,NA,"",NA,Inf,"","","","v.4.4.5"
"4123","Z:\PioneerLights_2021\iron05\sm4\07292021\SDHC\Data\IRON05_20210730_093047-noID.wav","IRON05_20210730_093047-noID.wav",NA,NA,"",NA,Inf,"","","","v.4.4.5"
"4124","Z:\PioneerLights_2021\iron05\sm4\07292021\SDHC\Data\IRON05_20210730_093133-noID.wav","IRON05_20210730_093133-noID.wav",NA,NA,"",NA,Inf,"","","","v.4.4.5"
"4125","Z:\PioneerLights_2021\iron05\sm4\07292021\SDHC\Data\IRON05_20210730_093225-noID.wav","IRON05_20210730_093225-noID.wav",NA,1,"",NA,50.5,"Laci","Laci","0.9383","v.4.4.5"
"4126","Z:\PioneerLights_2021\iron05\sm4\07292021\SDHC\Data\IRON05_20210730_093400-noID.wav","IRON05_20210730_093400-noID.wav",NA,NA,"",NA,58.63,"","","","v.4.4.5"
"4127","Z:\PioneerLights_2021\iron05\sm4\07292021\SDHC\Data\IRON05_20210730_093407-noID.wav","IRON05_20210730_093407-noID.wav",NA,NA,"",NA,Inf,"","","","v.4.4.5"
"4128","Z:\PioneerLights_2021\iron05\sm4\07292021\SDHC\Data\IRON05_20210730_093429-noID.wav","IRON05_20210730_093429-noID.wav",NA,NA,"",NA,Inf,"","","","v.4.4.5"
"4129","Z:\PioneerLights_2021\iron05\sm4\07292021\SDHC\Data\IRON05_20210730_093440-noID.wav","IRON05_20210730_093440-noID.wav",NA,NA,"",NA,Inf,"","","","v.4.4.5"
